Ano;Área destinada à colheita (Hectares);Área destinada à colheita - percentual do total geral;Área colhida (Hectares);Área colhida - percentual do total geral;Quantidade produzida (Toneladas);Rendimento médio da produção (Quilogramas por Hectare);Valor da produção;Valor da produção - percentual do total geral
2003 (Mil Reais);12000;83,57;12000;83,66;1920;160;9024;46,07
2020 (Mil Reais);34800;88,6;34800;88,6;7540;217;90480;81,35
2019 (Mil Reais);35100;88,75;35100;88,75;7800;222;78000;77,59
2018 (Mil Reais);37540;89,29;37540;89,29;9150;244;82350;79,33
2021 (Mil Reais);37540;89,38;37540;89,38;8671;231;111336;78,96
2022 (Mil Reais);37915;89,33;37915;89,33;8531;225;119400;78,3
2023 (Mil Reais);38294;89,33;38294;89,33;8961;234;163045;83,21
2017 (Mil Reais);39641;88,01;39641;88,01;8350;211;60037;65,24
1996 (Mil Reais);42320;95,41;42320;95,41;16928;400;16928;83,25
2014 (Mil Reais);47000;91,65;47000;91,65;13019;277;77463;73,42
2015 (Mil Reais);47000;91,54;47000;91,54;13160;280;128968;85,65
2012 (Mil Reais);47100;92,6;47100;92,6;13188;280;74085;78,75
2010 (Mil Reais);48000;93,67;48000;93,67;11520;240;59904;81,36
2011 (Mil Reais);48000;92,84;48000;92,84;11520;240;62208;79,36
1992 (Mil Cruzeiros);51163;96,28;51163;96,28;23023;449;92092000;91,65
1994 (Mil Reais);51584;96,66;51583;96,66;27841;539;25892;90,47
1993 (Mil Cruzeiros Reais);51683;96,5;51683;96,5;25841;499;2325690;93,9
2013 (Mil Reais);52206;92,99;52206;92,99;11485;220;64686;74,66
2016 (Mil Reais);52738;93,5;52738;93,5;8430;160;84300;73,96
2009 (Mil Reais);54214;94,55;49145;94,02;9698;197;45581;78,57
2006 (Mil Reais);55569;95,3;49237;95,1;9152;185;32490;75,33
2007 (Mil Reais);56391;94,91;50430;94,63;10033;198;35617;76,99
2005 (Mil Reais);56456;95,45;49746;95,21;8987;180;31904;76,19
2008 (Mil Reais);56911;94,47;51354;94,43;9881;192;36560;68,42
2004 (Mil Reais);58758;95,18;53790;95,46;8069;150;41152;80,79
2001 (Mil Reais);58798;96,42;58798;96,69;7386;125;15141;81,37
2002 (Mil Reais);58798;95,31;12000;83,33;1800;150;7560;44,52
1995 (Mil Reais);59968;96,94;59968;97,03;23388;390;23388;88,02
1997 (Mil Reais);60000;96,51;60000;96,51;24000;400;28800;91,85
1998 (Mil Reais);60109;96,46;60109;97,06;27049;449;48688;94,95
1999 (Mil Reais);60952;97,12;60952;97,12;15318;251;27879;95,52
2000 (Mil Reais);70700;96,71;70154;97,14;10137;144;20274;87,16
1990 (Mil Cruzeiros);71000;97,54;71000;97,54;30000;422;3000000;93,75
1991 (Mil Cruzeiros);72222;97,49;72222;97,49;30000;415;24000000;95,89
1988 (Mil Cruzados);80183;97,99;80183;97,99;40092;500;28064400;98,3
1989 (Mil Cruzados Novos);80183;98,01;80183;98,02;40092;500;441012;96,46
1974 (Mil Cruzeiros);...;...;80300;98,36;28105;350;187179;97,96
1975 (Mil Cruzeiros);...;...;75300;98,9;45180;600;406620;99,06
1976 (Mil Cruzeiros);...;...;60840;98,68;35397;582;424764;98,88
1977 (Mil Cruzeiros);...;...;53462;98,51;42055;787;1397277;99,58
1978 (Mil Cruzeiros);...;...;57530;98,22;33698;586;1010940;99,09
1979 (Mil Cruzeiros);...;...;59173;98,25;38613;653;1544520;99,21
1980 (Mil Cruzeiros);...;...;59292;98,12;34325;578;1887875;98,92
1981 (Mil Cruzeiros);...;...;41909;95,35;26566;634;1992450;96,61
1982 (Mil Cruzeiros);...;...;42552;95,24;26673;627;6134790;97,35
1983 (Mil Cruzeiros);...;...;46128;94,89;29741;645;16654960;97,72
1984 (Mil Cruzeiros);...;...;64000;96,13;19200;300;53760000;96,78
1985 (Mil Cruzeiros);...;...;78849;96,86;43737;555;524844;98,56
1986 (Mil Cruzados);...;...;76636;96,47;38318;500;498134;98,01
1987 (Mil Cruzados);...;...;76636;96,64;38318;500;2299080;97,64
